Step,Cost
0,0.9806205209671056
1,0.9765942354252971
2,0.9717423266040613
3,0.9659004593741479
4,0.9588738441768613
5,0.950432617701207
6,0.9403069996260404
7,0.9281824685300583
8,0.9136953469151788
9,0.8964293820981865
10,0.8759141609991228
11,0.8516264981907492
12,0.822996266584175
13,0.7894184492667538
14,0.7502733885392261
15,0.7049571513594755
16,0.6529234244669803
17,0.5937371758581387
18,0.5271382910876758
19,0.45311049410909005
20,0.37194739798833293
21,0.2843042713497671
22,0.1912222903100067
23,0.0941131020975633
24,-0.005303536593655567
25,-0.10510765501148567
26,-0.20332066506744934
27,-0.2980598381238695
28,-0.38768069481460077
29,-0.47088487846451843
30,-0.5467795270952205
31,-0.6148854322369987
32,-0.6751015351506289
33,-0.7276397282428546
34,-0.7729456297593091
35,-0.8116188880947576
36,-0.8443424265755054
37,-0.871825574874072
38,-0.8947623655046495
39,-0.9138038391079302
40,-0.9295419449835017
41,-0.9425022491711944
42,-0.9531428321404134
43,-0.961857191511425
44,-0.968979472585932
45,-0.9747908236393523
46,-0.979526066347524
47,-0.9833801733104466
48,-0.9865142622007365
49,-0.9890609649218547
50,-0.9911291267773902
51,-0.9928078496376426
52,-0.9941699261619682
53,-0.9952747281028177
54,-0.9961706168927063
55,-0.9968969434513009
56,-0.997485699344668
57,-0.997962874945507
58,-0.9983495732318561
59,-0.9986629209954101
60,-0.9989168128724655
61,-0.9991225179284867
62,-0.999289173570784
63,-0.9994241873140307
64,-0.9995335633253961
65,-0.9996221676588419
66,-0.9996939435762658
67,-0.9997520862737688
68,-0.9997991846175331
69,-0.9998373360861743
70,-0.9998682399635221
71,-0.9998932728834984
72,-0.999913550060017
73,-0.9999299749084977
74,-0.999943279255896
75,-0.999954055921718
76,-0.9999627851157958
77,-0.9999698558251741
78,-0.999975583140563
79,-0.9999802222927928
80,-0.9999839800236595
81,-0.9999870237971832
82,-0.9999894892612964
83,-0.9999914862921877
84,-0.999993103890464
85,-0.9999944141472027
86,-0.9999954754565618
87,-0.9999963351180615
88,-0.9999970314444795
89,-0.9999975954692738
90,-0.9999980523296162
91,-0.9999984223866645
92,-0.999998722132985
93,-0.999998964927578
94,-0.9999991615912466
95,-0.9999993208888495
96,-0.9999994499199285
97,-0.9999995544351162
98,-0.9999996390924271
99,-0.9999997076648548
100,-0.9999997632085252
101,-0.9999998081989008
102,-0.9999998446411065
103,-0.9999998741592941
104,-0.999999898069027
105,-0.9999999174359108
106,-0.9999999331230873
107,-0.9999999458297002
108,-0.9999999561220569
109,-0.9999999644588661
110,-0.9999999712116815
111,-0.9999999766814618
112,-0.9999999811119841
113,-0.9999999847007073
114,-0.9999999876075727
115,-0.9999999899621339
116,-0.9999999918693283
117,-0.999999993414156
118,-0.9999999946654663
119,-0.9999999956790278
120,-0.9999999965000127
121,-0.9999999971650102
122,-0.9999999977036583
123,-0.9999999981399632
124,-0.9999999984933702
125,-0.99999999877963
126,-0.9999999990115002
127,-0.9999999991993151
128,-0.9999999993514455
129,-0.9999999994746707
130,-0.9999999995744833
131,-0.9999999996553314
132,-0.9999999997208184
133,-0.999999999773863
134,-0.9999999998168292
135,-0.9999999998516317
136,-0.9999999998798216
137,-0.9999999999026553
138,-0.9999999999211512
139,-0.9999999999361323
140,-0.9999999999482673
141,-0.9999999999580964
142,-0.9999999999660582
143,-0.999999999972507
144,-0.9999999999777307
145,-0.9999999999819619
146,-0.999999999985389
147,-0.9999999999881654
148,-0.9999999999904139
149,-0.9999999999922352
150,-0.9999999999937107
151,-0.9999999999949054
152,-0.9999999999958736
153,-0.9999999999966577
154,-0.9999999999972925
155,-0.9999999999978071
156,-0.9999999999982238
157,-0.9999999999985612
158,-0.9999999999988347
159,-0.9999999999990561
160,-0.9999999999992353
161,-0.9999999999993806
162,-0.9999999999994983
163,-0.9999999999995938
164,-0.999999999999671
165,-0.9999999999997334
166,-0.9999999999997842
167,-0.9999999999998253
168,-0.9999999999998583
169,-0.9999999999998853
170,-0.9999999999999073
171,-0.9999999999999247
172,-0.999999999999939
173,-0.9999999999999507
174,-0.9999999999999601
175,-0.9999999999999676
176,-0.9999999999999739
177,-0.9999999999999788
178,-0.9999999999999828
179,-0.9999999999999861
180,-0.9999999999999887
181,-0.9999999999999909
182,-0.9999999999999927
183,-0.9999999999999939
184,-0.9999999999999951
185,-0.999999999999996
186,-0.999999999999997
187,-0.9999999999999976
188,-0.9999999999999979
189,-0.9999999999999982
190,-0.9999999999999987
191,-0.9999999999999988
192,-0.9999999999999991
193,-0.9999999999999992
194,-0.9999999999999994
195,-0.9999999999999996
196,-0.9999999999999996
197,-0.9999999999999997
198,-0.9999999999999997
199,-0.9999999999999999
